,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
407,0.0,0.9745625,-1.0,0.0254375,1.0,0.0
408,0.0,0.9745,-1.0,0.0255,1.0,0.0
409,0.0,0.9744375,-1.0,0.0255625,1.0,0.0
410,0.0,0.974375,-1.0,0.025625,1.0,0.0
411,0.0,0.9743125,-1.0,0.0256875,1.0,0.0
412,0.0,0.97425,-1.0,0.02575,1.0,0.0
413,0.0,0.9741875,-1.0,0.0258125,1.0,0.0
414,0.0,0.974125,-1.0,0.025875,1.0,0.0
415,0.0,0.9740625,-1.0,0.0259375,1.0,0.0
416,0.0,0.974,-1.0,0.026,1.0,0.0
417,0.0,0.9739375,-1.0,0.0260625,1.0,0.0
418,0.0,0.973875,-1.0,0.026125,1.0,0.0
419,0.0,0.9738125,-1.0,0.0261875,1.0,0.0
420,0.0,0.97375,-1.0,0.02625,1.0,0.0
421,0.0,0.9736875,-1.0,0.0263125,1.0,0.0
422,0.0,0.973625,-1.0,0.026375,1.0,0.0
423,0.0,0.9735625,-1.0,0.0264375,1.0,0.0
424,0.0,0.9735,-1.0,0.0265,1.0,0.0
425,0.0,0.9734375,-1.0,0.0265625,1.0,0.0
426,0.0,0.973375,-1.0,0.026625,1.0,0.0
427,0.0,0.9733125,-1.0,0.0266875,1.0,0.0
428,0.0,0.97325,-1.0,0.02675,1.0,0.0
429,0.0,0.9731875,-1.0,0.0268125,1.0,0.0
430,0.0,0.973125,-1.0,0.026875,1.0,0.0
431,0.0,0.9730625,-1.0,0.0269375,1.0,0.0
432,0.0,0.973,-1.0,0.027,1.0,0.0
433,0.0,0.9729375,-1.0,0.0270625,1.0,0.0
434,0.0,0.972875,-1.0,0.027125,1.0,0.0
435,0.0,0.9728125,-1.0,0.0271875,1.0,0.0
436,0.0,0.97275,-1.0,0.02725,1.0,0.0
437,0.0,0.9726875,-1.0,0.0273125,1.0,0.0
438,0.0,0.972625,-1.0,0.027375,1.0,0.0
439,0.0,0.9725625,-1.0,0.0274375,1.0,0.0
440,0.0,0.9725,-1.0,0.0275,1.0,0.0
441,0.0,0.9724375,-1.0,0.0275625,1.0,0.0
442,0.0,0.972375,-1.0,0.027625,1.0,0.0
443,0.0,0.9723125,-1.0,0.0276875,1.0,0.0
444,0.0,0.97225,-1.0,0.02775,1.0,0.0
445,0.0,0.9721875,-1.0,0.0278125,1.0,0.0
446,0.0,0.972125,-1.0,0.027875,1.0,0.0
447,0.0,0.9720625,-1.0,0.0279375,1.0,0.0
448,0.0,0.972,-1.0,0.028,1.0,0.0
449,0.0,0.9719375,-1.0,0.0280625,1.0,0.0
450,0.0,0.971875,-1.0,0.028125,1.0,0.0
451,0.0,0.9718125,-1.0,0.0281875,1.0,0.0
452,0.0,0.97175,-1.0,0.02825,1.0,0.0
453,0.0,0.9716875,-1.0,0.0283125,1.0,0.0
454,0.0,0.971625,-1.0,0.028375,1.0,0.0
455,0.0,0.9715625,-1.0,0.0284375,1.0,0.0
456,0.0,0.9715,-1.0,0.0285,1.0,0.0
457,0.0,0.9714375,-1.0,0.0285625,1.0,0.0
458,0.0,0.971375,-1.0,0.028625,1.0,0.0
459,0.0,0.9713125,-1.0,0.0286875,1.0,0.0
460,0.0,0.97125,-1.0,0.02875,1.0,0.0
461,0.0,0.9711875,-1.0,0.0288125,1.0,0.0
